"filename", "language", "JavaScript", "XML", "PHP", "JSON", "CSS", "SCSS", "Markdown", "comment", "blank", "total"
"c:\Users\asusvivobook\Desktop\Laravel\admin-movie\config\mail.php", "PHP", 0, 0, 55, 0, 0, 0, 0, 43, 19, 117
"c:\Users\asusvivobook\Desktop\Laravel\admin-movie\config\queue.php", "PHP", 0, 0, 52, 0, 0, 0, 0, 44, 17, 113
"c:\Users\asusvivobook\Desktop\Laravel\admin-movie\config\sanctum.php", "PHP", 0, 0, 17, 0, 0, 0, 0, 53, 14, 84
"c:\Users\asusvivobook\Desktop\Laravel\admin-movie\config\services.php", "PHP", 0, 0, 20, 0, 0, 0, 0, 11, 8, 39
"c:\Users\asusvivobook\Desktop\Laravel\admin-movie\config\session.php", "PHP", 0, 0, 23, 0, 0, 0, 0, 160, 35, 218
"c:\Users\asusvivobook\Desktop\Laravel\admin-movie\database\factories\ActorFactory.php", "PHP", 0, 0, 15, 0, 0, 0, 0, 8, 5, 28
"c:\Users\asusvivobook\Desktop\Laravel\admin-movie\database\factories\AdminFactory.php", "PHP", 0, 0, 17, 0, 0, 0, 0, 8, 4, 29
"c:\Users\asusvivobook\Desktop\Laravel\admin-movie\database\factories\DirectorFactory.php", "PHP", 0, 0, 13, 0, 0, 0, 0, 8, 4, 25
"c:\Users\asusvivobook\Desktop\Laravel\admin-movie\database\factories\MovieFactory.php", "PHP", 0, 0, 21, 0, 0, 0, 0, 8, 4, 33
"c:\Users\asusvivobook\Desktop\Laravel\admin-movie\database\factories\ProductionFactory.php", "PHP", 0, 0, 12, 0, 0, 0, 0, 8, 4, 24
"c:\Users\asusvivobook\Desktop\Laravel\admin-movie\database\factories\UserFactory.php", "PHP", 0, 0, 23, 0, 0, 0, 0, 17, 6, 46
"c:\Users\asusvivobook\Desktop\Laravel\admin-movie\database\migrations\0001_01_01_000000_create_users_table.php", "PHP", 0, 0, 31, 0, 0, 0, 0, 12, 6, 49
"c:\Users\asusvivobook\Desktop\Laravel\admin-movie\database\migrations\0001_01_01_000001_create_cache_table.php", "PHP", 0, 0, 25, 0, 0, 0, 0, 6, 5, 36
"c:\Users\asusvivobook\Desktop\Laravel\admin-movie\database\migrations\0001_01_01_000002_create_jobs_table.php", "PHP", 0, 0, 46, 0, 0, 0, 0, 6, 6, 58
"c:\Users\asusvivobook\Desktop\Laravel\admin-movie\database\migrations\2025_01_08_064728_create_directors_table.php", "PHP", 0, 0, 20, 0, 0, 0, 0, 6, 4, 30
"c:\Users\asusvivobook\Desktop\Laravel\admin-movie\database\migrations\2025_01_08_064910_create_types_table.php", "PHP", 0, 0, 19, 0, 0, 0, 0, 6, 4, 29
"c:\Users\asusvivobook\Desktop\Laravel\admin-movie\database\migrations\2025_01_08_065159_create_productions_table.php", "PHP", 0, 0, 19, 0, 0, 0, 0, 6, 4, 29
"c:\Users\asusvivobook\Desktop\Laravel\admin-movie\database\migrations\2025_01_08_065318_create_roles_table.php", "PHP", 0, 0, 19, 0, 0, 0, 0, 6, 4, 29
"c:\Users\asusvivobook\Desktop\Laravel\admin-movie\database\migrations\2025_01_08_065422_create_actors_table.php", "PHP", 0, 0, 21, 0, 0, 0, 0, 6, 4, 31
"c:\Users\asusvivobook\Desktop\Laravel\admin-movie\database\migrations\2025_01_09_044646_create_genres_table.php", "PHP", 0, 0, 20, 0, 0, 0, 0, 6, 4, 30
"c:\Users\asusvivobook\Desktop\Laravel\admin-movie\database\migrations\2025_01_09_044712_create_admins_table.php", "PHP", 0, 0, 23, 0, 0, 0, 0, 6, 4, 33
"c:\Users\asusvivobook\Desktop\Laravel\admin-movie\database\migrations\2025_01_09_045213_create_movies_table.php", "PHP", 0, 0, 29, 0, 0, 0, 0, 6, 4, 39
"c:\Users\asusvivobook\Desktop\Laravel\admin-movie\database\migrations\2025_01_09_045746_create_genre_movie_table.php", "PHP", 0, 0, 20, 0, 0, 0, 0, 6, 4, 30
"c:\Users\asusvivobook\Desktop\Laravel\admin-movie\database\migrations\2025_01_09_045935_create_actor_movie_table.php", "PHP", 0, 0, 20, 0, 0, 0, 0, 6, 4, 30
